name,name_arabic,description,city,phone,email,website,category,location
AlSahl Group,السهل جروب,"Building materials supplier, construction services",Tripoli,+218-91-2159527,,alsahlgroup.com,Building Materials,Tripoli Libya
Al-Nakheel Company,شركة النخيل,"Building materials, plumbing, trading",Zliten,+218-91-9250440,,alnakheel.ly,Building Materials,Zliten Libya
Asdaa Libya,أصداء ليبيا,"Electrical supplies, solar, generators",Zliten,+218-91-2014514,,asdaa.ly,Electrical,Zliten Libya
Northfields,نورث فيلدز,"Electrical engineering, power solutions",Tripoli,+218-21-340-4200,,northfields.com.ly,Electrical,Tripoli Libya
Libya Tools,ليبيا تولز,"Hardware, tools, industrial equipment",Benghazi,+218-92-6304714,,libyatools.ly,Hardware,Benghazi Libya
Lionsgate Industrial,ليونزقيت صناعي,"Industrial hardware, safety equipment",Tripoli,,,lionsgate.ly,Hardware,Tripoli Libya
Global Tech,جلوبال تك,"IT equipment, computers, networking",Tripoli,,,globaltech.ly,IT Equipment,Tripoli Libya
AlKufrah Safety,الكفرة للسلامة,"Safety equipment, PPE, fire extinguishers",Tripoli,,,alkufrah.com,Safety Equipment,Tripoli Libya
Libo Safety,ليبو للسلامة,"Safety equipment, security systems",Tripoli,,,libosafety.com.ly,Safety Equipment,Tripoli Libya
ART Libya,آر آر تي ليبيا,"Machinery, industrial equipment, tools",Tripoli,,,artlibya.ly,Machinery,Tripoli Libya
Pochette Pack,بوشي باك,"Packaging solutions, boxes, labels",Tripoli,,,pochettepack.com,Packaging,Tripoli Libya
F A J Trading,إف أ إيه جي ترادينج,"Electrical trading, industrial supplies",Misrata,,,fajtradingllc.com,Electrical,Misrata Libya
Libya Al-Tashyid,ليبيا التشييد,"Construction, building materials",Tripoli,+218-91-8372633,,,Building Materials,Tripoli Libya
Libyan Construction Company,شركة البناء الليبية,"General construction, contracting",Tripoli,,,,Building Materials,Tripoli Libya
Al-Hawari Food Stuff,الحواري للأغذية,"Food distribution, groceries",Tripoli,,,,Food & Beverage,Tripoli Libya
Libya Automotive,ليبيا أوتوموتيف,"Automotive parts, tires, oils",Tripoli,,,,Automotive,Tripoli Libya
Mediterranean Textiles,منسوجات المتوسط,"Textiles, fabrics, garments",Misrata,,,,Textiles,Misrata Libya
Delta United Co,edelta يونايتد,"Packaging, industrial supplies",Tripoli,,,,Packaging,Tripoli Libya
National Cement Company,شركة الأسمنت الوطنية,"Cement production, building materials",Tripoli,,,,Building Materials,Tripoli Libya
Karmika Global,كارميكا جلوبال,"Machinery, industrial equipment",Tripoli,+971-524819495,,karmicaglobal.com,Machinery,Tripoli Libya
Al Ebtekar,الابتكار,"Chemical products, cleaning supplies",Tripoli,,,,Chemicals,Tripoli Libya
Libyan Fertilisers Company,شركة الأسمدة الليبية,"Fertilizer production, agriculture",Tripoli,,,,Chemicals,Tripoli Libya
El Meselati Furniture,المثلي للأثاث,"Furniture, office chairs, desks",Tripoli,,,,Furniture,Tripoli Libya
Fares IT Solutions,فارس لحلول تقنية المعلومات,"IT solutions, software, hardware",Tripoli,,,,IT Equipment,Tripoli Libya
Al Moheit Computer,المحيط لل COMPUTERS,"Computer sales, IT services",Tripoli,,,,IT Equipment,Tripoli Libya
Sahel Alakhdar Flour Mill,ساحل الأخضر للمطاحن,"Flour mill, grain processing",Tripoli,,,,Food & Beverage,Tripoli Libya
TechnoFarm International,تكنو فارم,"Agricultural supplies, farming",Tripoli,,,,Agriculture,Tripoli Libya
Green Libya,ليبيا الخضراء,"Irrigation, agricultural equipment",Benghazi,,,,Agriculture,Benghazi Libya
Alliance Mechanical Equipment, alliance للمعدات الميكانيكية,"Mechanical equipment, construction",Tripoli,,,,Machinery,Tripoli Libya
Altazamon Company,الaltazamon,"Electrical panel manufacturing",Algharabooli,,,,Electrical,Algharabooli Libya
